name;brand_id;category_id;price;description;image_links
Orange Cashmere Scarf;1;4;250;This cahsmere scarf with an extraordinary fluidity, will bring you warmth and comfort all winter long.;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207512/Greg%20Pier/Categories/Scarves/Orange%20Cashmere%20Scarf/orangeScarf2_lwbajm.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207509/Greg%20Pier/Categories/Scarves/Orange%20Cashmere%20Scarf/orangeScarf_dob0v5.jpg
Purple Cashmere Scarf;1;4;250;This cahsmere scarf with an extraordinary fluidity, will bring you warmth and comfort all winter long.;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207552/Greg%20Pier/Categories/Scarves/Purple%20Cashmere%20Scarf/purpleScarf2_rawt12.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207549/Greg%20Pier/Categories/Scarves/Purple%20Cashmere%20Scarf/purpleScarf1_equsfn.jpg
Grey Cashmere Scarf;1;4;250;This cahsmere scarf with an extraordinary fluidity, will bring you warmth and comfort all winter long.;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207608/Greg%20Pier/Categories/Scarves/Grey%20Cashmere%20Scarf/greyScarf2_poej3d.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207607/Greg%20Pier/Categories/Scarves/Grey%20Cashmere%20Scarf/greyScarf1_qeu7bk.jpg
Midnight Blue Cashmere Scarf;1;4;250;This cahsmere scarf with an extraordinary fluidity, will bring you warmth and comfort all winter long.;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207654/Greg%20Pier/Categories/Scarves/Midnight%20Blue%20Cashmere%20Scarf/mBlueScarf2_miy2qm.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207651/Greg%20Pier/Categories/Scarves/Midnight%20Blue%20Cashmere%20Scarf/mBlueScarf1_hbky7q.jpg
Fuschia Cashmere Scarf;1;4;250;This cahsmere scarf with an extraordinary fluidity, will bring you warmth and comfort all winter long.;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207707/Greg%20Pier/Categories/Scarves/Fuschia%20Cashmere%20Scarf/fuschiaScarf2_xsphnn.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207704/Greg%20Pier/Categories/Scarves/Fuschia%20Cashmere%20Scarf/fuschiaScarf1_aamjui.jpg
Orange Cashmere Cap;1;5;120;Design and warm cap;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207828/Greg%20Pier/Categories/Caps/Orange%20Cashmere%20Cap/orangeCap1_wbbnpj.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207831/Greg%20Pier/Categories/Caps/Orange%20Cashmere%20Cap/orangeCap2_ukmtat.jpg
Midnight Blue Cashmere Cap;1;5;120;Design and warm cap;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207879/Greg%20Pier/Categories/Caps/Midnight%20Blue%20Cashmere%20Cap/mBlueCap1_ftghhe.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207880/Greg%20Pier/Categories/Caps/Midnight%20Blue%20Cashmere%20Cap/mBlueCap2_xkjdre.jpg
Ecru Cashmere Cap;1;5;120;Design and warm cap;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207917/Greg%20Pier/Categories/Caps/Ecru%20Cashmere%20Cap/ecruCap1_ozvtft.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207918/Greg%20Pier/Categories/Caps/Ecru%20Cashmere%20Cap/ecruCap2_v0hiax.jpg
Grey Cashmere Cap;1;5;120;Design and warm cap;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207948/Greg%20Pier/Categories/Caps/Grey%20Cashmere%20Cap/greyCap1_edkt86.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207950/Greg%20Pier/Categories/Caps/Grey%20Cashmere%20Cap/greyCap2_fod5zp.jpg
Fuschia Cashmere Cap;1;5;120;Design and warm cap;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207991/Greg%20Pier/Categories/Caps/Fuschia%20Cashmere%20Cap/fuschiaCap1_vwvj3l.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596207994/Greg%20Pier/Categories/Caps/Fuschia%20Cashmere%20Cap/fuschiaCap2_asbscs.jpg
Blue Grey Cashmere Cap;1;5;120;Design and warm cap;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596208060/Greg%20Pier/Categories/Caps/Blue%20Grey%20Cashmere%20Cap/lBlueCap1_rvhcrd.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596208067/Greg%20Pier/Categories/Caps/Blue%20Grey%20Cashmere%20Cap/lBlueCap2_jeapnl.jpg
Purple Cashmere Cap;1;5;120;Design and warm cap;https://res.cloudinary.com/bjarnehinkel/image/upload/v1596208096/Greg%20Pier/Categories/Caps/Purple%20Cashmere%20Cap/purpleCap1_vlp52n.png, https://res.cloudinary.com/bjarnehinkel/image/upload/v1596208101/Greg%20Pier/Categories/Caps/Purple%20Cashmere%20Cap/purpleCap_wlohs2.jpg
Fur jacket brown mink/Spider man lining;2;6;1800;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1599146299/Unique%20Glitter/categories/Jackets/Fur%20jacket%20brown%20mink-Spider%20man%20lining/cj-10475_q5wukf.jpg
Fur jacket brown mink/Comic lining;2;6;1800;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1599146284/Unique%20Glitter/categories/Jackets/Fur%20jacket%20brown%20mink-Comic%20lining/cj-10471_uduqnz.jpg
Fur bolero brown mink/Leopard lining;2;6;1600;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1599146269/Unique%20Glitter/categories/Jackets/Fur%20bolero%20brown%20mink-Leopard%20lining/cj-10455_upohmj.jpg
Fur bolero grey mink/Black lining;2;6;1600;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1599146242/Unique%20Glitter/categories/Jackets/Fur%20bolero%20grey%20mink-Black%20lining/cj-10468_gtopua.jpg
Fur hat brown mink;2;7;420;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1599146645/Unique%20Glitter/categories/Hats/Fur%20hat%20brown%20mink/cj-10366_mylidb.jpg
Fur head band brown mink;2;7;420;;
Fur head band fox/White grey;2;7;420;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1601915242/Unique%20Glitter/categories/Hats/Fur%20head%20band%20fox-White%20grey/cj-10377_m7oq5v.jpg
Fur hat dark mink;2;7;420;;
Fur scarf dark mink/Pink lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335097/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Pink%20lining/IMG_0019_jxif76.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335097/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Pink%20lining/IMG_0020_xab7j9.jpg
Fur scarf black Fox/Pirate lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335370/Unique%20Glitter/categories/Scarves/Fur%20scarf%20black%20Fox-Pirate%20lining/IMG_0052_se2itn.jpg
Fur scarf red fox/Pirate lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335399/Unique%20Glitter/categories/Scarves/Fur%20scarf%20red%20fox-Pirate%20lining/IMG_0024_mynxja.jpg
Fur scarf pink fox/Pink lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335307/Unique%20Glitter/categories/Scarves/Fur%20scarf%20pink%20fox-Pink%20lining/IMG_0007_tbihba.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335254/Unique%20Glitter/categories/Scarves/Fur%20scarf%20pink%20fox-Pink%20lining/IMG_0009_y0qlrg.jpg
Fur wrist cuff black fox/Pirate lining;2;9;250;;
Fur collar purple;2;9;250;;
Fur collar pink/Pink lining;2;9;250;;
Fur wrist cuff brown mink/pair;2;9;250;;
Fur head band dark mink;2;7;420;;
Fur head band brown mink/Scarf reversible;2;7;420;;
Fur hat dark mink/Pink lining;2;7;420;;
Fur hat brown mink/Jungle lining;2;7;420;;
Fur hat grey fox/Grey lining;2;7;420;;
Fur head band mink/White-grey;2;7;420;;
Fur hat black and white/Russian style;2;7;420;;
Fur hat grey mink/Blue lining;2;7;420;;
Fur hat brown mink/Leopard lining;2;7;420;;
Fur hat brown mink/Pink lining;2;7;420;;
Fur scarf green fox/Green lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335443/Unique%20Glitter/categories/Scarves/Fur%20scarf%20green%20fox-Green%20lining/IMG_0035_xchsbe.jpg
Fur scarf dark mink/Black lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335214/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Black%20lining/IMG_0006_wtn18h.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335214/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Black%20lining/IMG_0013_u74lpc.jpg
Fur scarf dark mink/Purple lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335485/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Purple%20lining/IMG_0042_gfdjuy.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335485/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Purple%20lining/IMG_0045_i65hnb.jpg
Fur scarf dark mink/Blue lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335507/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Blue%20lining/IMG_0039_lon0tc.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335507/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Blue%20lining/IMG_0041_vs2cep.jpg
Fur scarf dark mink/Green lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335528/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Green%20lining/IMG_0036_guxwhb.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335529/Unique%20Glitter/categories/Scarves/Fur%20scarf%20dark%20mink-Green%20lining/IMG_0038_bxsfkt.jpg
Fur scarf brown mink/Leopard lining;2;8;380;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335584/Unique%20Glitter/categories/Scarves/Fur%20scarf%20brown%20mink-Leopard%20lining/IMG_0047_xwnouj.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335585/Unique%20Glitter/categories/Scarves/Fur%20scarf%20brown%20mink-Leopard%20lining/IMG_0048_cjxlqn.jpg
Fur wrist cuff dark mink;2;9;250;;
Fur wrist cuff red fox/Pirate lining;2;9;250;;https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335713/Unique%20Glitter/categories/Accessories/Fur%20wrist%20cuff%20red%20fox-Pirate%20lining/IMG_0029_xn7mcz.jpg, https://res.cloudinary.com/bjarnehinkel/image/upload/v1600335713/Unique%20Glitter/categories/Accessories/Fur%20wrist%20cuff%20red%20fox-Pirate%20lining/IMG_0030_mnhawp.jpg
